Round 1:
#,Team,Trade Note,Pre-filled Player
1,San Antonio Spurs,,
2,Utah Jazz,,
3,Charlotte Hornets,,
4,Indiana Pacers,,
5,Washington Wizards,,
6,Detroit Pistons,,
7,Portland Trail Blazers,,
8,New Orleans Pelicans,,
9,Chicago Bulls,,
10,Atlanta Hawks,,
11,Sacramento Kings,,
12,Oklahoma City Thunder,,
13,Memphis Grizzlies,,
14,Houston Rockets,,
15,Orlando Magic,,
16,Minnesota Timberwolves,,
17,New York Knicks,,
18,Los Angeles Lakers,,
19,Miami Heat,,
20,Phoenix Suns,,
21,Denver Nuggets,,
22,Milwaukee Bucks,,
23,Toronto Raptors,,
24,Dallas Mavericks,,
25,Cleveland Cavaliers,,
26,Golden State Warriors,,
27,Brooklyn Nets,,
28,Los Angeles Clippers,,
29,Philadelphia 76ers,,

Round 2:
#,Team,Trade Note,Pre-filled Player
30,San Antonio Spurs,,
31,Utah Jazz,,
32,Charlotte Hornets,,
33,Indiana Pacers,,
34,Washington Wizards,,
35,Detroit Pistons,,
36,Portland Trail Blazers,,
37,New Orleans Pelicans,,
38,Chicago Bulls,,
39,Atlanta Hawks,,
40,Sacramento Kings,,
41,Oklahoma City Thunder,,
42,Memphis Grizzlies,,
43,Houston Rockets,,
44,Orlando Magic,,
45,Minnesota Timberwolves,,
46,New York Knicks,,
47,Los Angeles Lakers,,
48,Miami Heat,,
49,Phoenix Suns,,
50,Denver Nuggets,,
51,Milwaukee Bucks,,
52,Toronto Raptors,,
53,Dallas Mavericks,,
54,Cleveland Cavaliers,,
55,Golden State Warriors,,
56,Brooklyn Nets,,
57,Los Angeles Clippers,,
58,Philadelphia 76ers,,
